Treatment	SND	SLT	CLY	BulkDensity	SOC
FymMin	35.011	51.768	13.221	1.45	0.85
FymMin	36.515	52.042	11.443	1.4566	0.93
FymMin	29.203	56.556	14.241	1.4322	0.9
FymFym	46.366	42.191	11.443	1.40001	1
FymFym	44.700	44.881	10.300	1.41006	1.23
FymFym	31.739	56.176	12.085	1.4289	1.39
Slurry	40.952	45.682	13.366	1.3899	1.09
Slurry	43.790	46.432	9.778	1.4011	0.87
Slurry	37.102	50.890	12.008	1.395	1.05
MinMin	30.641	53.490	15.869	1.58	0.68
MinMin	33.334	51.292	15.375	1.56	0.6
MinMin	32.271	55.738	11.991	1.495	0.61
MinRes	45.541	40.770	13.689	1.3255	0.77
MinRes	47.300	43.900	8.800	1.455	0.82
MinRes	37.462	50.599	11.939	1.3	0.61
Ctrl	31.814	52.677	15.509	1.75	0.61
Ctrl	38.294	48.353	13.353	1.255	0.49
Ctrl	41.543	46.920	11.537	1.522	0.55

